datasheet_id,line,line_in_wargear,dice,name,description,range,type,A,BS_WS,S,AP,D
1,1,0,,Kombi-weapon,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>",24,Ranged,1,5,4,0,1
1,2,0,,Twin slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",12,Ranged,2,5,4,0,1
1,3,0,,Attack squig,"<a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>",Melee,Melee,2,4,4,0,1
1,4,0,,Big choppa,,Melee,Melee,5,2,8,-1,2
1,5,0,,Power klaw,,Melee,Melee,4,3,10,-2,2
2,1,0,,Big shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",36,Ranged,3,4,5,0,1
2,2,0,,â€™Uge choppa,,Melee,Melee,4,2,12,-2,2
3,1,0,,Twin dakkagun,"<a href=""/wh40k10ed/the-rules/core-rules/#Assault"">assault</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",18,Ranged,3,5,5,0,1
3,2,0,,Big choppa,,Melee,Melee,5,2,8,-1,2
3,3,0,,Killsaw,,Melee,Melee,3,4,12,-3,2
3,4,0,,Power klaw,,Melee,Melee,4,3,10,-2,2
4,1,0,,â€™Eadbanger,"<a href=""/wh40k10ed/the-rules/core-rules/#Precision"">precision</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Psychic-Weapons-and-Abilities"">psychic</a>",24,Ranged,1,4,6,-3,1
4,2,0,,Weirdboy staff,"<a href=""/wh40k10ed/the-rules/core-rules/#Psychic-Weapons-and-Abilities"">psychic</a>",Melee,Melee,3,3,8,-1,D3
6,1,0,,Kombi-weapon,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>",24,Ranged,1,5,4,0,1
6,2,0,,Kustom mega-blasta,"<a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>",24,Ranged,3,5,9,-2,D6
6,3,0,,Kustom shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",18,Ranged,4,5,4,0,1
6,4,0,,Tellyport blasta,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",12,Ranged,3,5,8,-1,3
6,5,0,,Killsaw,,Melee,Melee,3,4,12,-3,2
6,6,0,,Power klaw,,Melee,Melee,4,3,9,-2,2
7,1,0,,Kombi-weapon,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>",24,Ranged,1,5,4,0,1
7,2,0,,Kustom mega-blasta,"<a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>",24,Ranged,3,5,9,-2,D6
7,3,0,,Kustom mega-slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>",12,Ranged,D3,5,8,-2,D6
7,4,0,,Rokkit launcha,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",24,Ranged,D3,5,9,-2,3
7,5,0,,Shokk attack gun,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>",60,Ranged,D6+1,5,9,-4,D6
7,6,0,,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,5,4,0,1
7,7,0,,Twin dakkagun,"<a href=""/wh40k10ed/the-rules/core-rules/#Assault"">assault</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",18,Ranged,3,5,5,0,1
7,8,0,,Big choppa,,Melee,Melee,4,3,7,-1,2
7,9,0,,Choppa,,Melee,Melee,4,3,5,-1,1
7,10,0,,Close combat weapon,,Melee,Melee,4,3,5,0,1
7,11,0,,Killsaw,,Melee,Melee,3,4,12,-3,2
7,12,0,,Power klaw,,Melee,Melee,4,4,9,-2,2
8,1,0,,Morkâ€™s Roar,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 4</a>",36,Ranged,12,5,5,0,1
8,2,0,,Gorkâ€™s Klaw - strike,,Melee,Melee,6,2,14,-3,4
8,3,0,,Gorkâ€™s Klaw - sweep,,Melee,Melee,12,2,8,-2,2
8,4,0,,Makariâ€™s stabba,"<a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>",Melee,Melee,1,4,3,0,1
9,1,0,,Da Rippa â€“ standard,"<a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",24,Ranged,3,5,7,-2,2
9,2,0,,Da Rippa â€“ supercharge,"<a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Heavy"">heavy</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",24,Ranged,3,5,8,-3,3
9,3,0,,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,4,4,0,1
9,4,0,,Choppa,,Melee,Melee,6,2,5,-1,1
10,1,0,,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,5,4,0,1
10,2,0,,Da Vulchaâ€™s Klaws and choppa,,Melee,Melee,6,2,8,-2,2
11,1,0,,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,4,4,0,1
11,2,0,,Morkâ€™s Teeth,"<a href=""/wh40k10ed/the-rules/core-rules/#Precision"">precision</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",Melee,Melee,6,2,6,-1,2
12,1,0,,Kustom mega-slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">hazardous</a>",12,Ranged,D3,5,8,-2,D6
12,2,0,,Killsaw,,Melee,Melee,1,4,12,-3,2
12,3,0,,Wrench,,Melee,Melee,3,3,4,0,1
13,1,0,,Power klaw,,Melee,Melee,3,4,9,-2,2
13,2,0,,â€™Urty syringe,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Precision"">precision</a>",Melee,Melee,1,3,2,0,1
14,1,0,,Twin dakkagun,"<a href=""/wh40k10ed/the-rules/core-rules/#Assault"">assault</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Twin-linked"">twin-linked</a>",18,Ranged,3,5,5,0,1
14,2,0,,Killsaw,,Melee,Melee,2,4,12,-3,2
14,3,0,,Power klaw,,Melee,Melee,3,4,9,-2,2
14,4,0,,â€™Urty syringe,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Precision"">precision</a>",Melee,Melee,1,3,2,0,1
15,1,0,,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,5,4,0,1
15,2,0,,Power klaw,"<a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">sustained hits 1</a>",Melee,Melee,4,3,9,-2,2
15,3,0,,â€™Urty syringe,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Extra-Attacks"">extra attacks</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Precision"">precision</a>",Melee,Melee,1,3,2,0,1
16,1,0,,Big shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 2</a>",36,Ranged,3,5,5,0,1
16,2,0,,Kombi-weapon,"<a href=""/wh40k10ed/the-rules/core-rules/#Anti"">anti-infantry 4+</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">devastating wounds</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>",24,Ranged,1,5,4,0,1
16,3,0,,Rokkit launcha,"<a href=""/wh40k10ed/the-rules/core-rules/#Blast"">blast</a>",24,Ranged,D3,5,9,-2,3
16,4,0,,Shoota,"<a href=""/wh40k10ed/the-rules/core-rules/#Rapid-Fire"">rapid fire 1</a>",18,Ranged,2,5,4,0,1
16,5,0,,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,5,4,0,1
16,6,0,,Big choppa,,Melee,Melee,3,3,7,-1,2
16,7,0,,Choppa,,Melee,Melee,3,3,4,-1,1
16,8,0,,Close combat weapon,,Melee,Melee,2,3,4,0,1
16,9,0,,Power klaw,,Melee,Melee,3,4,9,-2,2
17,1,0,,Grot blasta,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,4,3,0,1
17,2,0,,Slugga,"<a href=""/wh40k10ed/the-rules/core-rules/#Pistol"">pistol</a>",12,Ranged,1,5,4,0,1
17,3,0,,Close combat weapon,,Melee,Melee,1,5,2,0,1
17,4,0,,Runtherd tools,,Melee,Melee,3,3,5,0,1
